Listing Name,Price,Room Type,Reviews,Location
livingroom,54,Shared room,1 review,
Sofa in Williamsburg,70,Shared room,3 reviews,
One bedroom in spacious apartment,61,Private room,4 reviews,
Lovely Space half a block from Park,75,Private room,1 review,
Spacious place with a backyard,188,Entire home/apt,1 review,
The Brooklyn Riviera,40,Shared room,0 reviews,
Cozy Rm In BedSty Blks From A Train,97,Private room,3 reviews,
Private Room in S. Williamsburg Apt,90,Private room,0 reviews,
Great room 20 mins from downtown,54,Private room,4 reviews,
A Greenpoint Gem on Franklin Street,269,Entire home/apt,0 reviews,
Luxury Room - Private Backyard,124,Private room,0 reviews,
Fantastic Room with Bed and Futon,94,Private room,0 reviews,
Prime Park Slope Brooklyn Duplex!,222,Entire home/apt,0 reviews,
Introducing! Charming 1br Flat,114,Entire home/apt,0 reviews,
Private Spacious in Kensington,61,Private room,0 reviews,
East Williamsburgs finest.,168,Entire home/apt,0 reviews,
Room with your private garden,88,Private room,1 review,
Mischief Manor,242,Entire home/apt,0 reviews,
Cozy Rm In BedSty Blks From A Train,97,Private room,3 reviews,
Artist's home near park and trains,67,Private room,9 reviews,
Beautiful 2 Bedroom Townhouse,182,Entire home/apt,25 reviews,
Beautiful Big 1B Brooklyn Apartment,182,Entire home/apt,28 reviews,
Beautiful Brooklyn Bedroom,101,Private room,2 reviews,
Spacious place with a backyard,188,Entire home/apt,1 review,
Private Brooklyn Garden Apartment,182,Entire home/apt,38 reviews,
BKLYN BROWNSTONE: The Stuyvesant,202,Entire home/apt,29 reviews,
Comfortable Room in NYC!,66,Private room,60 reviews,
Modern Private Room in Bushwick,81,Private room,1 review,
A Greenpoint Gem on Franklin Street,269,Entire home/apt,0 reviews,
Jardin gem on Herkimer,114,Private room,1 review,
Bright and Spacious Brooklyn Studio,128,Entire home/apt,1 review,
"HUGE, PRIVATE BATH, STEPS FRM TRAIN",135,Private room,20 reviews,
"Bright, Clean, 1/2 Block from Train",61,Private room,0 reviews,
beautiful brownstone,175,Entire home/apt,59 reviews,
